open,high,low,close,volume
137.45401188473625,137.36408184666985,172.99983109899705,163.8144568372174,4668
195.07143064099162,133.29120962314033,118.45119955987116,145.9292453534193,3624
173.19939418114052,117.61539125028601,134.66396943698862,196.4498524863941,2075
159.86584841970367,160.7266670101488,166.32806368578184,121.89784509842382,2026
115.60186404424365,147.66241605086287,148.20893445244798,158.78564159989406,3124
115.59945203362027,186.57009923240037,173.85710386348939,170.02100149902225,2670
105.80836121681995,103.21095804820582,196.12079012228597,182.55644893453817,2861
186.6176145774935,164.38679275551263,111.65466877151975,140.6971030428007,3629
160.1115011743209,176.29488785115612,170.9567716398061,168.69219076574814,4745
170.80725777960456,175.9486569188307,123.03441556321145,130.32014713842827,3655
102.05844942958025,188.60739670955252,141.44767274075693,143.54760923618204,2039
196.99098521619942,172.90337428294941,103.28627257951398,189.56271312033994,3277
183.24426408004217,192.78100616476962,113.59073822926989,194.99076093309543,1903
121.23391106782762,133.26565998208915,131.97772890488997,171.88173469272647,3964
118.18249672071006,150.3209416751543,134.1985805287985,137.4351890776185,1888
118.34045098534338,101.40796632828906,189.9585216462096,182.0057789974664,2290
130.42422429595376,100.69575873032912,174.1812909266515,102.58670817254202,2329
152.4756431632238,124.01266204515198,197.21829681870412,110.2745910539421,4926
143.1945018642116,110.08071971390852,159.90715103352406,166.13737363753611,2029
129.1229140198042,126.02113679357537,124.1713732091318,129.12485752700576,2133
161.18528947223794,117.70432945283974,132.76550299216427,195.1386218400478,1142
113.94938606520418,102.85200248386482,131.9835923291967,143.60606120923046,2930
129.2144648535218,190.93041464060494,132.64943276632516,142.9364820389177,2690
136.63618432936917,100.82231313888916,167.29641731118159,167.80795101909314,1206
145.6069984217036,173.60821443370855,153.0807928090416,176.75685623061895,3476
178.51759613930136,115.21478869195165,138.54241780866442,147.55587381251365,1165
119.96737821583598,191.22296219996,114.90897687287166,121.40009017117242,3307
151.42344384136118,189.27959395898858,102.21391629421458,177.33086427256217,2997
159.24145688620425,165.39011463692572,121.88346775876926,132.03512748736276,4756
104.64504127199977,167.2234149800605,110.74714039686813,117.51107692938575,1393
160.75448519014384,100.53391419696885,178.54450308522394,163.16401899250133,1120
117.05241236872915,198.4871566113602,111.24979578138854,109.04536669903504,3997
106.50515929852796,187.78326035758144,172.4228237306836,197.1352675086055,1412
194.88855372533334,189.5106225730092,138.56586897760826,163.2397264412137,4211
196.56320330745592,165.9244537050872,107.3378389743776,198.58955209217558,2975
180.8397348116461,134.47869286545364,181.27300494315858,133.8893423478636,3215
130.46137691733708,189.3648649090481,157.96305702366135,197.1205161190398,4155
109.76721140063839,129.15169281511925,123.5761512863573,114.55622477286235,1420
168.4233026512157,156.27115433422028,189.4681174332668,104.06947723470284,2729
144.01524937396013,109.97309723438823,104.52583138705515,103.29840604546025,3835
112.20382348447788,192.19556301327503,120.1819608197763,146.4870370599227,1267
149.51769101112703,114.07704577712133,175.2046927805861,108.30041974785948,3085
103.43885211152184,122.48968057304073,170.93779303098893,151.21678841676018,3973
190.9320402078782,155.8134158128215,128.9271693724478,132.75005035089004,4374
